"","X","MES","CONGLOME.x","VIVIENDA.x","HOGAR.x","CODPERSO.x","UBIGEO.x","DOMINIO","ESTRATO.x","CODINFOR.x","P300A","P301A","P207","P507","P513T","P524A1","CONGLOME.y","VIVIENDA.y","HOGAR.y","CODPERSO.y","UBIGEO.y","DOMINIO.y","ESTRATO.y","CODINFOR.y","P401H1","P401H2","P401H3","P401H4","P401H5","P401H6"
"1",1,50099811110101440,5009,98,11,1,10101,"SN",4,1,"Castellano","Secundaria completa","Hombre",3,30,125,5009,98,11,1,10101,4,4,1,2,2,2,2,2,2
"2",2,50099811210101440,5009,98,11,2,10101,"SN",4,2,"Castellano","Secundaria completa","Mujer",4,60,900,5009,98,11,2,10101,4,4,2,2,2,2,2,2,2
"3",3,50099811310101440,5009,98,11,3,10101,"SN",4,3,"Castellano","Secundaria completa","Mujer",4,42,600,5009,98,11,3,10101,4,4,3,1,2,2,2,2,2
"4",4,500912611110101440,5009,126,11,1,10101,"SN",4,1,"Castellano","Secundaria completa","Hombre",4,40,4518,5009,126,11,1,10101,4,4,1,2,2,2,2,2,2
"5",5,5030511210201742,5030,5,11,2,10201,"SE",4,2,"Castellano","Secundaria incompleta","Mujer",4,77,250,5030,5,11,2,10201,7,4,2,2,2,2,2,2,2
"6",6,50301211110201744,5030,12,11,1,10201,"SE",4,1,"Castellano","Primaria incompleta","Hombre",4,43,125,5030,12,11,1,10201,7,4,1,2,2,2,2,2,2
"7",7,50491911310701744,5049,19,11,3,10701,"SE",4,2,"Castellano","Secundaria completa","Hombre",4,24,250,5049,19,11,3,10701,7,4,2,2,2,2,2,2,2
"8",8,5079111110401781,5079,1,11,1,10401,"SE",8,1,"Castellano","Primaria incompleta","Hombre",4,35,600,5079,1,11,1,10401,7,8,1,2,2,2,2,2,2
"9",9,50793311110401784,5079,33,11,1,10401,"SE",8,1,"Castellano","Secundaria completa","Hombre",4,84,2000,5079,33,11,1,10401,7,8,1,2,2,2,2,2,2
"10",10,51027511110701768,5102,75,11,1,10701,"SE",7,1,"Castellano","Primaria incompleta","Hombre",4,48,450,5102,75,11,1,10701,7,7,1,2,2,2,2,2,2
